"d","t","travelers","CumulativeT"
"4","2018-09-18 05:43:33","1","557"
"2","2018-09-18 05:43:42","1","558"
"4","2018-09-18 05:43:47","2","560"
"2","2018-09-18 05:43:50","1","561"
"2","2018-09-18 05:43:53","1","562"
"2","2018-09-18 05:44:01","1","563"
"2","2018-09-18 05:44:03","1","564"
"2","2018-09-18 05:44:05","1","565"
"2","2018-09-18 05:44:08","2","567"
"2","2018-09-18 05:44:09","1","568"
"2","2018-09-18 05:44:11","1","569"
"4","2018-09-18 05:44:14","1","570"
"2","2018-09-18 05:44:15","1","571"
"2","2018-09-18 05:44:16","2","573"
"2","2018-09-18 05:44:20","1","574"
"2","2018-09-18 05:44:27","1","575"
"4","2018-09-18 05:44:29","3","578"
"4","2018-09-18 05:44:30","1","579"
"4","2018-09-18 05:44:37","1","580"
"2","2018-09-18 05:44:38","1","581"
"2","2018-09-18 05:44:39","1","582"
"2","2018-09-18 05:44:40","1","583"
"4","2018-09-18 05:44:46","1","584"
"2","2018-09-18 05:44:52","1","585"
"2","2018-09-18 05:44:54","1","586"
"2","2018-09-18 05:44:55","2","588"
"4","2018-09-18 05:45:04","1","589"
"2","2018-09-18 05:45:07","1","590"
"2","2018-09-18 05:45:12","1","591"
"2","2018-09-18 05:45:13","1","592"
"2","2018-09-18 05:45:20","1","593"
"2","2018-09-18 05:45:21","1","594"
"2","2018-09-18 05:45:23","2","596"
"2","2018-09-18 05:45:30","1","597"
"2","2018-09-18 05:45:31","1","598"
"2","2018-09-18 05:45:39","1","599"
"2","2018-09-18 05:45:43","1","600"
"2","2018-09-18 05:45:46","1","601"
"2","2018-09-18 05:45:48","1","602"
"4","2018-09-18 05:45:55","1","603"
"2","2018-09-18 05:46:01","1","604"
"2","2018-09-18 05:46:02","1","605"
"2","2018-09-18 05:46:03","1","606"
"2","2018-09-18 05:46:06","1","607"
"2","2018-09-18 05:46:07","1","608"
"2","2018-09-18 05:46:11","1","609"
"2","2018-09-18 05:46:12","1","610"
"2","2018-09-18 05:46:15","1","611"
"2","2018-09-18 05:46:21","1","612"
"2","2018-09-18 05:46:22","1","613"
"4","2018-09-18 05:46:23","2","615"
"2","2018-09-18 05:46:30","1","616"
"2","2018-09-18 05:46:31","2","618"
"2","2018-09-18 05:46:32","1","619"
"2","2018-09-18 05:46:33","1","620"
"4","2018-09-18 05:46:34","1","621"
"2","2018-09-18 05:46:35","1","622"
"2","2018-09-18 05:46:38","1","623"
"2","2018-09-18 05:46:41","1","624"
"2","2018-09-18 05:46:44","1","625"
"2","2018-09-18 05:46:51","1","626"
"2","2018-09-18 05:46:53","1","627"
"2","2018-09-18 05:46:55","1","628"
"2","2018-09-18 05:46:57","2","630"
"2","2018-09-18 05:46:59","2","632"
"2","2018-09-18 05:47:10","1","633"
"2","2018-09-18 05:47:16","1","634"
"2","2018-09-18 05:47:18","1","635"
"4","2018-09-18 05:47:30","2","637"
"2","2018-09-18 05:47:31","1","638"
"4","2018-09-18 05:47:34","1","639"
"2","2018-09-18 05:47:47","1","640"
"4","2018-09-18 05:47:48","1","641"
"4","2018-09-18 05:47:51","1","642"
"4","2018-09-18 05:47:56","1","643"
"2","2018-09-18 05:47:57","1","644"
"2","2018-09-18 05:48:00","1","645"
"2","2018-09-18 05:48:01","1","646"
"2","2018-09-18 05:48:06","1","647"
"2","2018-09-18 05:48:10","1","648"
"2","2018-09-18 05:48:11","1","649"
"4","2018-09-18 05:48:17","1","650"
"2","2018-09-18 05:48:20","1","651"
"2","2018-09-18 05:48:21","2","653"
"4","2018-09-18 05:48:24","1","654"
"2","2018-09-18 05:48:27","1","655"
"2","2018-09-18 05:48:34","1","656"
"2","2018-09-18 05:48:35","1","657"
"2","2018-09-18 05:48:36","2","659"
"2","2018-09-18 05:48:45","1","660"
"2","2018-09-18 05:48:47","1","661"
"2","2018-09-18 05:48:49","2","663"
"4","2018-09-18 05:48:54","1","664"
"2","2018-09-18 05:49:00","1","665"
"2","2018-09-18 05:49:03","1","666"
"4","2018-09-18 05:49:09","1","667"
"2","2018-09-18 05:49:10","1","668"
"2","2018-09-18 05:49:11","1","669"
"2","2018-09-18 05:49:13","1","670"
"2","2018-09-18 05:49:18","1","671"
"2","2018-09-18 05:49:24","1","672"
